"ID","Group","Feature_1","Feature_2","Feature_3"
"ID001","A",2386.07835635141,392.810299359107,5185.29088310236
"ID002","C",2487.31703598943,406.921928730665,-2077.71742072032
"ID003","B",1998.43219330488,422.280924983984,3971.39709074919
"ID004","C",2226.54936917812,396.230729781495,-1828.59187718095
"ID005","B",2359.49007465268,385.996294083237,4717.3599281942
"ID006","C",2588.76894188285,425.980435408388,-2156.28295094443
"ID007","C",2223.54972951149,393.691502829891,-1823.02381187902
"ID008","C",2670.33454629855,381.493212390444,-2293.22795976114
"ID009","C",2180.33954305395,397.500100606855,-1769.44606583269
"ID010","A",2497.44266733393,405.116474549319,5486.94797041966
"ID011","B",2425.02194572993,415.428376870595,4849.40626048758
"ID012","A",2123.96730989281,402.513424397767,4348.0722565099
"ID013","A",2499.25917853851,423.436693796374,5377.45171872674
"ID014","C",2264.41830333447,422.333739951427,-1842.50050794706
"ID015","C",3010.84406575357,410.975626258814,-2602.52158179755
"ID016","B",1932.80769634502,392.874505581036,3876.20118220715
"ID017","A",2464.98555679805,418.633065421446,5308.48635461385
"ID018","B",2417.25839019177,399.969834569556,4831.93379607625
"ID019","A",2635.08372889098,374.386467650744,6046.20147365673
"ID020","C",2227.56302990255,381.804763731916,-1860.12932512919
"ID021","B",2329.02385103375,391.370352770845,4652.69223324463
"ID022","C",2518.86067194889,404.985474235613,-2133.37412587797
"ID023","B",2583.08052934513,402.659580635983,5189.17891826322
"ID024","A",2143.0970817077,390.223955515782,4483.36951250477
"ID025","B",2472.2798622508,388.235374958581,4957.06590068472
"ID026","C",2306.05311038416,408.257046668211,-1898.78693234702
"ID027","B",2742.84195688534,390.40206656903,5494.52251519405
"ID028","B",2792.05056192909,398.991220410478,5592.19723569354
"ID029","C",2352.46906468652,384.351896079052,-1977.52408070588
"ID030","C",2558.73544787559,370.49352932692,-2187.38199397101
"ID031","B",2399.56966109357,375.151579589919,4812.3141040357
"ID032","A",2513.07006206366,377.419489530383,5653.32545162483
"ID033","B",2515.37508995045,403.216451019167,4999.10884684822
"ID034","A",2267.95161107333,415.277690761012,4727.62113765572
"ID035","A",2110.76359255005,392.608083359879,4371.737644874
"ID036","A",2749.74765463812,406.397810682561,6226.88146839818
"ID037","B",2039.65666910559,393.589659778082,4093.69432909691
"ID038","B",2712.39376213365,421.973068472643,5436.77765049605
"ID039","C",2527.54048757038,384.828181545139,-2165.00611832539
"ID040","B",2031.1881324243,396.151530778438,4062.18854473688
"ID041","C",2549.83809776746,411.925310573642,-2162.15266986567
"ID042","A",2954.22824627947,422.083722684836,6738.96803774495
"ID043","B",2805.09817757627,403.866168877427,5620.36557064072
"ID044","C",2586.24986872648,400.102559679121,-2194.81390781888
"ID045","B",2945.13455795798,402.257897062232,5889.00238643815
"ID046","C",2695.55112054307,391.129542301141,-2312.18103864099
"ID047","C",2556.16337471577,400.079713763663,-2170.25064050167
"ID048","A",2379.00626371701,383.967867785281,5232.18246012917
"ID049","B",2296.09452508183,390.871563457726,4602.54266804949
"ID050","A",2952.154944937,420.609157775422,6751.36718605424
"ID051","C",2381.09707555435,374.035027243156,-2001.23618513747
"ID052","C",2924.52080930971,384.470885799441,-2557.73608281453
"ID053","B",1999.24677639505,395.157220431605,4000.31609283149
"ID054","A",3061.00581972995,401.030394076626,7181.66303993088
"ID055","B",2097.61381663004,393.61738026189,4194.63082540131
"ID056","B",2794.28558084906,412.505525201527,5598.11850672171
"ID057","C",2620.23896699899,413.975034581364,-2192.81368169547
"ID058","C",2202.84791437516,404.311146734206,-1779.02405357308
"ID059","A",2486.46393711427,390.8028763057,5492.89309044687
"ID060","C",2123.84533718784,410.363659358623,-1737.61896526228
"ID061","A",1867.46292779844,408.16087224577,3555.21536870893
"ID062","C",2423.95928146042,409.27177575623,-2048.14896704333
"ID063","C",2687.13043036093,389.292544327188,-2306.63052003251
"ID064","B",2780.31602145066,426.264272103627,5565.48743414394
"ID065","C",1975.14701580581,382.195666709381,-1594.99180578355
"ID066","C",2813.5825139104,405.497794557469,-2399.20183896257
"ID067","B",2890.60798590893,396.685216527004,5775.59421748162
"ID068","B",2346.31082356906,376.113648786029,4705.28615149907
"ID069","C",2257.79451495677,400.265443247793,-1842.92044146255
"ID070","C",2909.03597791904,386.069181304731,-2520.59153241619
"ID071","B",1819.70697682852,417.411800597277,3612.30649931873
"ID072","A",2054.68928474281,401.167630438063,4187.01757843993
"ID073","A",2713.36186723698,405.148535780024,6110.32929836553
"ID074","C",2561.77234948451,380.462127930798,-2195.72873640496
"ID075","C",2398.68222216361,395.099896671091,-2033.52060436489
"ID076","C",2650.55952058235,393.631986459195,-2252.46966607505
"ID077","A",1914.75389838863,396.691564617904,3756.67418980874
"ID078","B",2815.02504639308,427.195683319298,5618.54576625046
"ID079","B",2850.21305655383,413.816798287147,5696.70086459398
"ID080","C",2395.11882183516,416.303141176011,-1992.40283124298
"ID081","A",2605.2601390237,397.711227800857,5822.906041528
"ID082","A",2781.39463130822,411.420617921629,6285.45666696689
"ID083","B",2939.08774993147,398.919905660194,5883.75736779456
"ID084","B",2523.03853563107,403.025966790227,5052.89148940969
"ID085","A",2656.33588506014,387.349359010618,6031.01522422344
"ID086","C",2651.17792691279,389.910631148592,-2251.10539439309
"ID087","A",2890.01810492257,382.866896991681,6763.53251986631
"ID088","B",2822.0273322999,409.883495902692,5624.23900623741
"ID089","C",2393.02721539534,407.33647293382,-1986.449660283
"ID090","C",2703.85180833188,400.210138859271,-2290.09253894732
"ID091","B",2565.60587368261,388.978488965771,5130.56113394514
"ID092","A",2770.18599422261,397.758228534591,6335.59189696432
"ID093","B",2262.76395941969,389.002541341973,4535.42644743691
"ID094","C",2691.68360781164,396.300850017453,-2307.30261230276
"ID095","A",2331.52848063733,408.603399187141,4948.53643468742
"ID096","A",2873.77227028747,401.63883504535,6599.96008274582
"ID097","B",2283.79879122224,385.466152537892,4543.84835196389
"ID098","A",2106.39583801538,394.920897597745,4358.19578749849
"ID099","A",3139.43442105502,390.29393952052,7471.35747975028
"ID100","B",2256.26923237088,419.315660222499,4514.66384284626
"ID101","A",2385.61038962439,374.661436930683,5286.35161391207
"ID102","C",2313.28811491969,396.506879665043,-1953.30762898915
"ID103","A",2140.70747440886,406.281580471465,4386.2830625967
"ID104","C",1893.24476594402,395.104071551282,-1506.10126629047
"ID105","C",2909.55224763052,389.750185492452,-2517.10897658604
"ID106","A",2210.87268974021,414.226079082008,4564.64243476834
"ID107","A",2743.7419371659,440.317454813356,6039.31236811571
"ID108","A",2654.29685167594,398.131684151074,5973.75951308508
"ID109","B",2288.28614744476,384.90558793424,4574.01740470289
"ID110","A",2221.04343945327,403.251844942057,4620.5921572457
"ID111","A",2104.84829558603,384.32590535226,4385.1314876372
"ID112","A",2661.66419738068,390.263897575454,6030.26390595382
"ID113","B",2540.53404146336,400.423420070189,5058.33794340789
"ID114","A",2777.61071757647,394.656401194469,6368.46411143455
"ID115","C",2693.86354335182,393.696827067722,-2279.1767428785
"ID116","C",2418.68128241379,383.016244705282,-2046.44439444686
"ID117","A",2578.27966446802,399.635932183049,5749.70086005066
"ID118","C",2305.93695146688,383.140182887225,-1923.56846177718
"ID119","A",2810.54566422874,430.69443594572,6294.84498781632
"ID120","B",2687.99766098619,415.149319569196,5372.66723687778
"ID121","A",2119.02494009708,394.414336952068,4383.62567770896
"ID122","C",1819.49342621929,388.623952305686,-1447.96345555371
"ID123","A",2078.27192307831,419.412004275068,4143.13861738519
"ID124","A",2601.20767834553,397.147761501159,5817.92406473001
"ID125","C",2644.93595917475,396.815577499946,-2241.77377049332
"ID126","B",2467.57987616841,391.402988747199,4947.478066579
"ID127","C",2347.14587106494,418.135918440925,-1926.97425808647
"ID128","C",3295.37095699837,389.94548045959,-2910.05069229943
"ID129","C",2213.331778231,397.219390380599,-1828.75063235253
"ID130","A",2629.48376026482,407.727764881527,5881.31829308332
